 2073849 | 16Bm07 Jan 25 03:38:20 17 | 16BP10 F13477_3  | 11:49:03.0  36:26:48 2000 |  80 | u | 1.04 | 1.21 1.34    17 |   OG657 |   OB657 |P 3 O Q R|
 2073850 | 16Bm07 Jan 25 03:40:25 17 | 16BP10 F13478_3  | 11:53:50.9  36:26:48 2000 |  80 | u | 1.05 | 0.93 0.95    16 |   OG660 |   OB660 |P 1 V Q R|
 2073851 | 16Bm07 Jan 25 03:42:37 17 | 16BP10 F13771_3  | 11:29:07.4  37:25:00 2000 |  80 | u | 1.05 | 1.09 1.11    16 |   OG807 |   OB807 |P 1 V Q R|
 2073852 | 16Bm07 Jan 25 03:44:42 17 | 16BP10 F13772_3  | 11:33:59.1  37:25:00 2000 |  80 | u | 1.05 | 0.97 0.99    17 |   OG810 |   OB810 |P 1 V Q R|
 2073853 | 16Bm07 Jan 25 03:46:48 17 | 16BP10 F13773_3  | 11:38:50.8  37:25:00 2000 |  80 | u | 1.05 | 1.03 1.05    17 |   OG813 |   OB813 |P 1 V Q R|
 2073854 | 16Bm07 Jan 25 03:48:53 17 | 16BP10 F13774_3  | 11:43:42.5  37:25:00 2000 |  80 | u | 1.05 | 0.95 0.97    17 |   OG816 |   OB816 |P 1 V Q R|
 2073855 | 16Bm07 Jan 25 03:50:58 17 | 16BP10 F13775_3  | 11:48:34.2  37:25:00 2000 |  80 | u | 1.05 | 1.12 1.14    17 |   OG819 |   OB819 |P 1 V Q R|
 2073856 | 16Bm07 Jan 25 03:53:04 17 | 16BP10 F13776_3  | 11:53:25.9  37:25:00 2000 |  80 | u | 1.05 | 1.09 1.11    17 |   OG822 |   OB822 |P 1 V Q R|
 2073857 | 16Bm07 Jan 25 03:55:09 17 | 16BP10 F13777_3  | 11:58:17.6  37:25:00 2000 |  80 | u | 1.05 | 0.94 0.96    17 |   OG825 |   OB825 |P 1 V Q R|
 2073858 | 16Bm07 Jan 25 03:57:45 17 | 16BP10 F13770_3  | 11:24:15.7  37:25:00 2000 |  80 | u | 1.05 | 0.92 0.95    18 |   OG804 |   OB804 |P 1 V Q R|
 2073859 | 16Bm07 Jan 25 04:00:07 17 | 16BP10 F13477_3  | 11:49:03.0  36:26:48 2000 |  80 | u | 1.04 | 0.95 1.05    17 |   OG657 |   OB657 |P 1 V Q R|
 2073860 | 16Bm07 Jan 25 04:02:14 17 | 16BP10 F14065_1  | 11:30:16.7  38:43:12 2000 |  80 | u | 1.06 | 0.96 0.98    18 |   OG967 |   OB967 |P 1 V Q R|
