#   WAVELENGTH        FLUX
#------------- -----------
     3528.800      1.4600
     3528.900      1.4060
     3529.000      1.2503
     3529.100      1.2723
     3529.200      1.4497
     3529.300      1.6222
     3529.400      1.7260
     3529.500      1.8611
     3529.600      1.9682
     3529.700      1.9670
     3529.800      2.0274
     3529.900      1.9239
     3530.000      1.5882
     3530.100      1.4371
     3530.200      1.4259
     3530.300      1.3193
     3530.400      1.3065
     3530.500      1.4811
     3530.600      1.5944
     3530.700      1.5294
     3530.800      1.4809
     3530.900      1.6718
     3531.000      1.8562
     3531.100      1.8335
     3531.200      1.8483
     3531.300      1.8744
     3531.400      1.7998
     3531.500      1.7933
     3531.600      1.9976
     3531.700      2.1664
     3531.800      2.0320
     3531.900      1.8350
     3532.000      1.8688
     3532.100      2.0752
     3532.200      2.1392
     3532.300      1.9770
     3532.400      1.8849
     3532.500      1.8116
     3532.600      1.7139
     3532.700      1.7159
     3532.800      1.7180
     3532.900      1.6280
     3533.000      1.5517
     3533.100      1.6251
     3533.200      1.9038
     3533.300      2.0132
     3533.400      1.7645
     3533.500      1.4722
     3533.600      1.3856
     3533.700      1.4797
     3533.800      1.5687
     3533.900      1.5180
     3534.000      1.3296
     3534.100      1.2102
     3534.200      1.2655
     3534.300      1.3350
     3534.400      1.3330
     3534.500      1.3672
     3534.600      1.5040
     3534.700      1.6978
     3534.800      1.8295
     3534.900      1.8528
     3535.000      1.8646
     3535.100      1.9440
     3535.200      1.9738
     3535.300      1.8329
     3535.400      1.6345
     3535.500      1.5341
     3535.600      1.5401
     3535.700      1.6347
     3535.800      1.6934
     3535.900      1.6607
     3536.000      1.5817
     3536.100      1.4944
     3536.200      1.4695
     3536.300      1.5255
     3536.400      1.5850
     3536.500      1.5891
     3536.600      1.6037
     3536.700      1.4906
     3536.800      1.2315
     3536.900      1.1084
     3537.000      1.2317
     3537.100      1.3869
     3537.200      1.3953
     3537.300      1.3292
     3537.400      1.3087
     3537.500      1.3916
     3537.600      1.4875
     3537.700      1.5476
     3537.800      1.6832
     3537.900      1.7947
     3538.000      1.7367
     3538.100      1.6801
     3538.200      1.7764
     3538.300      1.9176
     3538.400      2.0372
     3538.500      2.0438
     3538.600      1.8651
     3538.700      1.6183
     3538.800      1.4387
     3538.900      1.4418
     3539.000      1.5655
     3539.100      1.6970
     3539.200      1.6935
     3539.300      1.5185
     3539.400      1.3655
     3539.500      1.2790
     3539.600      1.2024
     3539.700      1.1796
     3539.800      1.3405
     3539.900      1.6444
     3540.000      1.7693
     3540.100      1.6510
     3540.200      1.5116
     3540.300      1.5526
     3540.400      1.6700
     3540.500      1.5956
     3540.600      1.6595
     3540.700      2.0581
     3540.800      2.4011
     3540.900      2.4215
     3541.000      2.1729
     3541.100      1.8381
     3541.200      1.7382
     3541.300      1.9429
     3541.400      2.1601
     3541.500      2.0582
     3541.600      1.9202
     3541.700      2.1465
     3541.800      2.4842
     3541.900      2.5706
     3542.000      2.1379
     3542.100      1.6082
     3542.200      1.4422
     3542.300      1.5380
     3542.400      1.8021
     3542.500      2.0166
     3542.600      2.0972
     3542.700      2.1843
     3542.800      2.3496
