2847557 | 23AQ03 Feb 24 02:21:36 23 | P34 JF1        |  7:57:47.3  21:25:04 2000 |  298 | g | 1.92 | 1.44 1.40  4163 |P 3 O D|
2847558 | 23AQ03 Feb 24 02:26:12 23 | H32 C8VF0D2_00 | 13:36:40.3  37:57:53 2000 |   90 | g | 1.10 | 2.01 1.99   728 |A 2 V Q|
2847559 | 23AQ03 Feb 24 02:28:26 23 | H32 C8VF0D2_00 | 13:36:40.8  37:57:29 2000 |   90 | g | 1.10 | 2.12 2.14   715 |A 1 V Q|
2847560 | 23AQ03 Feb 24 02:30:41 23 | H32 C8VF0D2_00 | 13:36:41.9  37:57:41 2000 |   90 | g | 1.10 | 2.01 2.03   700 |A 1 V Q|
2866908 | 23AQ08 Mar 21 21:40:48 23 | H32 P11DMem_00 |  8:48:55.9   7:52:59 2000 |   40 | g | 1.03 | 1.41 1.41   480 |A 1 V Q|
2866909 | 23AQ08 Mar 21 21:42:13 23 | H32 P11DMem_00 |  8:48:58.1   7:51:54 2000 |   40 | g | 1.03 | 1.28 1.27   482 |A 1 V Q|
2866910 | 23AQ08 Mar 21 21:43:38 23 | H32 P11DMem_00 |  8:48:59.2   7:53:58 2000 |   40 | g | 1.03 | 1.34 1.33   485 |A 1 V Q|
2866911 | 23AQ08 Mar 21 21:45:06 23 | H32 P11DMem_00 |  8:48:57.3   7:54:50 2000 |   40 | g | 1.03 | 1.22 1.22   488 |A 1 V Q|
2866912 | 23AQ08 Mar 21 21:47:54 23 | H32 C8Y7YG2_00 |  8:04:08.4  25:38:22 2000 |   60 | g | 1.06 | 0.86 0.87   763 |A 1 V Q|
2866913 | 23AQ08 Mar 21 21:49:39 23 | H32 C8Y7YG2_00 |  8:04:08.9  25:37:59 2000 |   60 | g | 1.06 | 0.80 0.80   748 |A 1 V Q|
2866914 | 23AQ08 Mar 21 21:51:24 23 | H32 C8Y7YG2_00 |  8:04:10.0  25:38:14 2000 |   60 | g | 1.06 | 0.79 0.79   765 |A 1 V Q|
2866915 | 23AQ08 Mar 21 21:54:50 23 | H32 P11DAVk_00 | 11:01:06.0  34:34:20 2000 |   40 | g | 1.10 | 1.19 1.21   459 |A 1 V Q|
2866916 | 23AQ08 Mar 21 21:56:15 23 | H32 P11DAVk_00 | 11:01:06.6  34:33:57 2000 |   40 | g | 1.10 | 0.74 0.73   441 |A 1 V Q|
2866917 | 23AQ08 Mar 21 21:57:40 23 | H32 P11DAVk_00 | 11:01:07.7  34:34:12 2000 |   40 | g | 1.10 | 0.70 0.69   450 |A 1 V Q|
2866918 | 23AQ08 Mar 21 21:59:56 23 | H32 P11DMi0_00 | 11:56:04.2   3:12:43 2000 |   40 | g | 1.28 | 1.48 1.46   524 |A 1 V Q|
2866919 | 23AQ08 Mar 21 22:02:08 23 | H32 P11DMi0_00 | 11:56:06.3   3:11:37 2000 |   40 | g | 1.27 | 1.27 1.27   506 |A 1 V Q|
2866920 | 23AQ08 Mar 21 22:03:43 23 | H32 P11DMi0_00 | 11:56:07.4   3:13:40 2000 |   40 | g | 1.26 | 2.67 2.57   508 |A 1 V Q|
2866921 | 23AQ08 Mar 21 22:05:08 23 | H32 P11DMi0_00 | 11:56:05.5   3:14:32 2000 |   40 | g | 1.26 | 1.34 1.35   520 |A 1 V Q|
2866922 | 23AQ08 Mar 21 22:07:30 23 | H32 P21DGEh_00 | 12:58:34.3  16:08:15 2000 |   60 | g | 1.46 | 1.11 1.10   722 |A 1 V Q|
2866923 | 23AQ08 Mar 21 22:09:16 23 | H32 P21DGEh_00 | 12:58:36.5  16:07:13 2000 |   60 | g | 1.45 | 1.09 1.05   731 |A 1 V Q|
2866924 | 23AQ08 Mar 21 22:11:00 23 | H32 P21DGEh_00 | 12:58:37.6  16:09:19 2000 |   60 | g | 1.44 | 1.14 1.11   735 |A 1 V Q|
2866925 | 23AQ08 Mar 21 22:12:45 23 | H32 P21DGEh_00 | 12:58:35.7  16:10:14 2000 |   60 | g | 1.43 | 1.05 1.05   738 |A 1 V Q|
2866926 | 23AQ08 Mar 21 22:14:41 23 | H32 P21DGH5_00 | 12:50:27.6  26:01:51 2000 |   40 | g | 1.34 | 1.13 1.12   468 |A 1 V Q|
2866927 | 23AQ08 Mar 21 22:16:06 23 | H32 P21DGH5_00 | 12:50:29.8  26:00:51 2000 |   40 | g | 1.34 | 1.17 1.18   470 |A 1 V Q|
2866928 | 23AQ08 Mar 21 22:17:41 23 | H32 P21DGH5_00 | 12:50:30.8  26:03:00 2000 |   40 | g | 1.33 | 1.27 1.27   463 |A 1 V Q|
2866929 | 23AQ08 Mar 21 22:19:06 23 | H32 P21DGH5_00 | 12:50:28.6  26:03:57 2000 |   40 | g | 1.32 | 1.19 1.20   455 |A 1 V Q|
2866930 | 23AQ08 Mar 21 22:21:03 23 | H32 P21DGN5_00 | 14:22:12.4  22:06:58 2000 |   40 | g | 2.11 | 1.55 1.43   596 |A 1 V Q|
2866931 | 23AQ08 Mar 21 22:22:28 23 | H32 P21DGN5_00 | 14:22:12.8  22:06:35 2000 |   40 | g | 2.09 | 1.60 1.45   585 |A 1 V Q|
2866932 | 23AQ08 Mar 21 22:23:52 23 | H32 P21DGN5_00 | 14:22:13.7  22:06:49 2000 |   40 | g | 2.07 | 1.31 1.29   587 |A 1 V Q|
2866933 | 23AQ08 Mar 21 22:25:50 23 | H32 P11DKaE_00 | 14:23:48.3  42:50:43 2000 |   40 | g | 1.95 | 1.21 1.14   545 |A 1 V Q|
2866934 | 23AQ08 Mar 21 22:27:15 23 | H32 P11DKaE_00 | 14:23:49.0  42:50:19 2000 |   40 | g | 1.93 | 1.28 1.30   544 |A 1 V Q|
2866935 | 23AQ08 Mar 21 22:28:40 23 | H32 P11DKaE_00 | 14:23:50.4  42:50:32 2000 |   40 | g | 1.92 | 1.29 1.26   538 |A 1 V Q|
2866969 | 23AQ08 Mar 22 05:03:54 23 | H32 P11DxbX_00 | 16:31:38.7  40:40:49 2000 |   40 | g | 1.07 | 0.83 0.84   408 |A 1 V Q|
2866970 | 23AQ08 Mar 22 05:05:19 23 | H32 P11DxbX_00 | 16:31:39.4  40:40:27 2000 |   40 | g | 1.07 | 1.00 1.02   403 |A 1 V Q|
2866971 | 23AQ08 Mar 22 05:06:43 23 | H32 P11DxbX_00 | 16:31:40.8  40:40:43 2000 |   40 | g | 1.07 | 0.70 0.71   377 |A 1 V Q|
2866972 | 23AQ08 Mar 22 05:10:03 23 | C03 sdssrmcfht | 14:14:47.1  53:05:46 2000 |   55 | g | 1.39 | 0.81 0.81   107 |A 5 O D|
